required_model_feature,existing_canonical_source,producing_script,existing_field_name,timing_cutoff,usable_as_is,requires_transformation,genuinely_missing
final score,data/results/game_results_2026.csv (season artifact; absent until results exist),scripts/results/inject_game_results_into_site.py consumes the canonical results artifact,home_score / away_score / completed,post-final,yes when populated,none,no new puller; zero-game season is valid
closing spread/total,data/odds/game_book_line_history.csv + data/odds/game_line_history.csv,scripts/odds/append_game_line_history.py,spread / total / price / snapshot timestamp,final retained pre/postgame snapshot,yes,select canonical closing snapshot + team perspective,no
team PBP efficiency,data/research/pbp_history_2021_2025/team_game_tendencies.csv; 2026 canonical signal artifacts when games begin,existing CFBD PBP ingestion/normalization,"off_ppa, success, explosiveness, plays and defensive counterparts",completed game only,yes historically,same feature normalization required for 2026,current 2026 normalized team-game adapter not populated before games
advanced stats,canonical CFBD advanced-stat inputs represented in repeatable_performance_features,existing PBP/advanced builders,"adv_off/def PPA, success, havoc",completed game only,yes historically,join on season/week/game_id/team,no raw puller needed
drive efficiency,canonical drive aggregates represented in repeatable_performance_features,existing drive feature builder,drive_* points/opportunity and field position,completed game only,yes historically,join/rolling transform,no raw puller needed
game control,data/site/game_control_team_games_2026.json,scripts/site/build_game_control_view.py,game_control_index (mapped to gc_game_control_index in research features),completed PBP only,yes when populated,team/game join and field rename,no
entering ratings,data/ratings/ratings_history.csv and ratings_latest.csv,scripts/ratings/append_ratings_history.py + build_all_ratings_latest.py,source rating/value/rank and timestamp,snapshot entering completed week,yes,select cutoff snapshot; map SP+ overall/off/def,no
rolling recent form,canonical completed team-game feature rows,existing historical feature logic in build_team_rating_movement_model.py,"trailing_2/3 ATS/PPA, season-to-date, recent_form_vs_season",through completed Week N,yes inputs,deterministic rolling transformation,bridge transformation needed
schedule/next game,data/site/matchups_view.json and data/site/schedule_live_enrichment.json,scripts/site/build_matchups_view.py + build_schedule_live_enrichment.py,"game_id, week, date, teams, neutral_site",known schedule at run cutoff,yes,canonical team-name and next-date lookup,no
current model spread/total,data/projections/game_projections_2026.csv + matchups_view.json,scripts/projections/build_game_projection_blend_2026.py,projected_spread / projected_total,latest build before Shadow run,yes,canonical sign conversion,no
market-rating movement,canonical postgame feature row,this bridge exporter/adapter,frozen 27-feature order,after close + final/PBP,no prior fitted artifact,load frozen state,model state was missing; exported
overall SP+ movement,same canonical postgame row + entering SP+,this bridge exporter/adapter,frozen 31-feature order,"after final/PBP, before next SP+",no prior fitted artifact,load frozen state,model state was missing; exported
SP+ offense/defense movement,same canonical postgame row + entering components,this bridge exporter/adapter,selected component feature orders,"after final/PBP, before next SP+",no prior fitted artifact,load frozen state; defense sign inversion,model state was missing; exported
predicted FPI/TR next spread,two teams’ adapted postgame rows + prior-source projections + next venue,this bridge adapter,frozen direct-game feature order,Saturday cutoff before target publications,no prior fitted artifact,prospective source availability + game join,model state was missing; exported
SP+ component total,predicted updated offense/defense components,this bridge adapter,four updated component fields,Saturday cutoff,no prior fitted artifact,frozen conversion then 60/40 -1.1573,conversion state was missing; exported
